,IMG,Pti,Ptj,XPti,XPtj,XRefPti,XRefPtj,YPti,YPtj,YRefPti,YRefPtj,Distij,DistRefij
195,DSC00855_CLAHE_RGB.JPG,3,4,4675,3561,4675,3560,1753,2355,1753,2354,1266.2543188475213,1266.6593859439877
196,DSC00855_CLAHE_RGB.JPG,4,0,3561,958,3560,958,2355,1722,2354,1719,2678.861325264897,2678.363119519084
197,DSC00855_CLAHE_RGB.JPG,4,1,3561,2678,3560,2678,2355,1277,2354,1276,1393.4751522721888,1392.8416995480857
198,DSC00855_CLAHE_RGB.JPG,4,2,3561,695,3560,696,2355,1409,2354,1406,3018.090787236196,3016.819517306264
199,DSC00855_CLAHE_RGB.JPG,4,3,3561,4675,3560,4675,2355,1753,2354,1753,1266.2543188475213,1266.6593859439877
200,DSC00856_CLAHE_RGB.JPG,0,1,958,2679,958,2678,1719,1276,1719,1276,1777.1015727864292,1776.1331594224573
201,DSC00856_CLAHE_RGB.JPG,0,2,958,696,958,696,1719,1406,1719,1406,408.1825571971443,408.1825571971443
202,DSC00856_CLAHE_RGB.JPG,0,3,958,4676,958,4675,1719,1753,1719,1753,3718.1554566747204,3717.155498496128
203,DSC00856_CLAHE_RGB.JPG,0,4,958,3561,958,3560,1719,2354,1719,2354,2679.3346188932805,2678.363119519084
204,DSC00856_CLAHE_RGB.JPG,1,0,2679,958,2678,958,1276,1719,1276,1719,1777.1015727864292,1776.1331594224573
